grocery | Surf Excel Easy Wash Detergent Powder - 5 Kg | ₹607 | https://www.amazon.in/sspa/click?ie=UTF8&spc=MToyNDg1OTkxODM2NzE2MDk5OjE3NzQ0MTM4NzI6c3BfYXRmOjIwMDI4NDU3NzEwNzk4OjowOjo&url=%2FSurf-Excel-Easy-Detergent-Powder%2Fdp%2FB09C3VGV8G%2Fref%3Dsr_1_1_in_f3_0o_fs_sspa%3Fdib%3DeyJ2IjoiMSJ9.mBt0sBRI3ioWmAW8yopK-WXU14bhWT86qujmvtBZtvTdWyKVOzLY7vP3PLlgwRtYLesvDkYdVJT0sTXZNm6u38oHYQBfh6P1NiPQmp-Zq0rMWkNeSKzGgaue_Yeh_pb2dJxlg2wMI98CSICm3_8s7yabUtHeJWDSPS7Zx6HFXG1aPGQu9MJuU4RDAeihFCGrDaFvwo2NRR8Ku8V3itaMgbbLJAT1mHNYcnXI9VhcmmWbI-nZUMK-GtoPG9Re9a9qCHGc1ygtkpqbo9jT_MQ7zG1vyu09O76WG6E8--RzpOw.TWtTODdopVXUNMu_s_PlV2EUVXBJrmuOj41uXrNLJ6A%26dib_tag%3Dse%26keywords%3Dgrocery%26qid%3D1774413872%26sr%3D8-1-spons%26aref%3DbmdTJKQqgT%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1&aref=bmdTJKQqgT&sp_cr=ZAZ
grocery | Tabasco Chipotle Pepper Sauce, 60Ml | ₹244 | https://www.amazon.in/sspa/click?ie=UTF8&spc=MToyNDg1OTkxODM2NzE2MDk5OjE3NzQ0MTM4NzI6c3BfYXRmOjMwMDkzMjQzNDE5NzMzMjo6MDo6&url=%2FTabasco-Chipotle-Pepper-Sauce-60ml%2Fdp%2FB005BYEHCM%2Fref%3Dsr_1_2_sspa%3Fdib%3DeyJ2IjoiMSJ9.mBt0sBRI3ioWmAW8yopK-WXU14bhWT86qujmvtBZtvTdWyKVOzLY7vP3PLlgwRtYLesvDkYdVJT0sTXZNm6u38oHYQBfh6P1NiPQmp-Zq0rMWkNeSKzGgaue_Yeh_pb2dJxlg2wMI98CSICm3_8s7yabUtHeJWDSPS7Zx6HFXG1aPGQu9MJuU4RDAeihFCGrDaFvwo2NRR8Ku8V3itaMgbbLJAT1mHNYcnXI9VhcmmWbI-nZUMK-GtoPG9Re9a9qCHGc1ygtkpqbo9jT_MQ7zG1vyu09O76WG6E8--RzpOw.TWtTODdopVXUNMu_s_PlV2EUVXBJrmuOj41uXrNLJ6A%26dib_tag%3Dse%26keywords%3Dgrocery%26qid%3D1774413872%26sr%3D8-2-spons%26aref%3DimQ4vH2K7A%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1&aref=imQ4vH2K7A&sp_cr=ZAZ
grocery | Granules Pure Cow Ghee - 500ml Glass Jar (Pack of 1) | Premium Danedar Desi Ghee with Rich Aroma | Perfect for Daily Cooking, Sweets & Rotis | No Preservatives | ₹719 | https://www.amazon.in/sspa/click?ie=UTF8&spc=MToyNDg1OTkxODM2NzE2MDk5OjE3NzQ0MTM4NzI6c3BfYXRmOjMwMDUwMzUzMzMwNjczMjo6MDo6&url=%2FGranules-Pure-Cow-Ghee-Preservatives%2Fdp%2FB0C39W1P3P%2Fref%3Dsr_1_3_sspa%3Fdib%3DeyJ2IjoiMSJ9.mBt0sBRI3ioWmAW8yopK-WXU14bhWT86qujmvtBZtvTdWyKVOzLY7vP3PLlgwRtYLesvDkYdVJT0sTXZNm6u38oHYQBfh6P1NiPQmp-Zq0rMWkNeSKzGgaue_Yeh_pb2dJxlg2wMI98CSICm3_8s7yabUtHeJWDSPS7Zx6HFXG1aPGQu9MJuU4RDAeihFCGrDaFvwo2NRR8Ku8V3itaMgbbLJAT1mHNYcnXI9VhcmmWbI-nZUMK-GtoPG9Re9a9qCHGc1ygtkpqbo9jT_MQ7zG1vyu09O76WG6E8--RzpOw.TWtTODdopVXUNMu_s_PlV2EUVXBJrmuOj41uXrNLJ6A%26dib_tag%3Dse%26keywords%3Dgrocery%26qid%3D1774413872%26sr%3D8-3-spons%26aref%3Du3eOQz0rI7%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1&aref=u3eOQz0rI7&sp_cr=ZAZ
grocery | Saffola Cold Pressed Mustard Oil | 100% Cold Pressed Mustard Seed Oil | Kachi ghani Mustard Oil, 0 trans fat, Unrefined, Chemical free | Helps Manage Cholesterol, Goodness of Omega 3 with Authentic Seed Flavour | 1L Pet Bottle | ₹205 | https://www.amazon.in/sspa/click?ie=UTF8&spc=MToyNDg1OTkxODM2NzE2MDk5OjE3NzQ0MTM4NzI6c3BfYXRmOjMwMDc2NTMzOTg3ODQzMjo6MDo6&url=%2FSaffola-Pressed-Cholesterol-Goodness-Authentic%2Fdp%2FB0DVLN496Q%2Fref%3Dsr_1_4_sspa%3Fdib%3DeyJ2IjoiMSJ9.mBt0sBRI3ioWmAW8yopK-WXU14bhWT86qujmvtBZtvTdWyKVOzLY7vP3PLlgwRtYLesvDkYdVJT0sTXZNm6u38oHYQBfh6P1NiPQmp-Zq0rMWkNeSKzGgaue_Yeh_pb2dJxlg2wMI98CSICm3_8s7yabUtHeJWDSPS7Zx6HFXG1aPGQu9MJuU4RDAeihFCGrDaFvwo2NRR8Ku8V3itaMgbbLJAT1mHNYcnXI9VhcmmWbI-nZUMK-GtoPG9Re9a9qCHGc1ygtkpqbo9jT_MQ7zG1vyu09O76WG6E8--RzpOw.TWtTODdopVXUNMu_s_PlV2EUVXBJrmuOj41uXrNLJ6A%26dib_tag%3Dse%26keywords%3Dgrocery%26qid%3D1774413872%26sr%3D8-4-spons%26aref%3DnHYeQCTYZ7%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1&aref=nHYeQCTYZ7&sp_cr=ZAZ
grocery | Fortune Premium Kachi Ghani Pure Mustard Oil, 910G PET Bottle (Weight May Vary) | ₹165 | https://www.amazon.in/Fortune-Kachi-Ghani-Pure-Mustard/dp/B0757631XR
grocery | Aashirvaad Shudh Chakki Atta, 10kg Pack, 100% Whole Wheat Flour, 0% Maida | ₹463 | https://www.amazon.in/Aashirvaad-Shudh-Chakki-Atta-10/dp/B00RO0BWOM
grocery | Tata Salt 1 Kg, Free Flowing and Iodised Namak, Vacuum Evaporated, Salt in Fresh | ₹27 | https://www.amazon.in/Flowing-Iodised-Namak-Vacuum-Evaporated/dp/B07575FPC3
grocery | Fortune Sunlite Refined Sunflower Oil, 870gm/800gm Pouch (Weight May Vary) | ₹176 | https://www.amazon.in/Fortune-Sunlite-Refined-Sunflower-Oil/dp/B00NYZTGEO
grocery | Tata Tea Premium | Desh Ki Chai | Unique Blend Crafted For Chai Lovers Across India | Black Tea | 1.5kg | ₹552 | https://www.amazon.in/Tata-Tea-Premium-1500-g/dp/B08H654828
grocery | Fortune Premium Kachi Ghani Pure Mustard Oil, 1 ltr pouch | ₹173 | https://www.amazon.in/Fortune-Kachi-Ghani-Pure-Mustard/dp/B06XH9QPX2
grocery | Tata Sampann Unpolished Toor Dal/Arhar Dal, 1kg | ₹162 | https://www.amazon.in/Tata-Sampann-Pulses-Toor-Dal/dp/B074N7VHV4
